,NO-N,NO-S
0,-5.361398593330489,-2.987049674338789
1,-5.173713464359608,-8.966242247043919
2,-3.3967899304287332,-6.490651851914206
3,-6.270856537541719,-7.186315717391975
4,-5.9040555722998045,-4.23418484449252
5,-7.782092872279133,-5.082376459117854
6,-6.319516147753247,-4.249538153509568
7,-6.235761464745863,-7.631007362584917
8,-6.804431281611425,-7.623840263142354
9,-2.623318035137975,-6.446892245890072
10,-2.5571984180323346,-7.62093937757825
11,-2.962397849262901,-4.583245711573361
12,-3.973062945727336,-6.266914193708978
13,-3.7206942851858726,-4.376319371538796
14,-1.0852533167794791,-4.0406109176839315
15,-3.289088679430039,-5.017033343809713
16,-4.982658582140923,-4.475358006336866
17,-6.082540893239808,-3.521112395619647
18,-7.825915037769999,-5.396810674886286
19,-5.876299512944959,-7.033513147971957
20,-4.583927577637271,-6.203399579340459
21,-3.941149596632003,-6.492162600020595
22,-3.9193936407220766,-5.576590395355258
23,-5.702009252944848,-6.6445510663626965
24,-4.520195127699659,-5.744662853704187
25,-2.565966453966804,-2.7044644974584626
26,-4.6326198429329395,-5.605372930158166
27,-4.028618858779788,-4.031820466144157
28,-3.065901057633533,-6.205814163535002
29,-3.458689792511386,-6.106647155458508
30,-1.4592547128496653,-4.283677167902688
31,-4.769639912955483,-3.2552598642144144
32,-6.366171296251133,-2.890582312366072
33,-6.8166840536853375,-2.7020668425886525
34,-5.80674590204453,-2.8892897961087844
35,-6.342824125374028,-3.5057172461745774
36,-4.3488323771517905,-4.510132491115145
37,-4.122277194677105,-5.626367279640068
38,-5.264900114843281,-6.832658604326053
39,-5.283657498682784,-5.686523141116396
40,-6.603007151823217,-5.292656838248173
41,-6.320352805664614,-5.1935993574823724
42,-4.083331261038146,-3.390855477174785
43,-6.731244119672555,-4.0998520846372815
44,-5.639728049786411,-2.8649222619238643
45,-6.9508377989117385,1.5757218782235576
46,-6.69821856109852,2.0342752374458404
47,-7.0976918454688525,0.8161942504638616
48,-8.035146562569585,-1.3930022719325303
49,-10.772074083555491,-2.874371534344731
50,-8.847111301993976,-1.0329129409499966
51,-6.233983212572244,0.5320902766449104
52,-6.429873244227236,-1.3737654489328142
53,-6.060580348123696,-0.04665597591403681
54,-6.9713253702599705,0.7998738957895775
55,-5.668013806460732,-2.252247046616448
56,-1.8284647766854278,-3.5982230271231197
57,-2.977182552586352,-5.462151367795062
58,-3.2742229128884794,-5.864799411425306
59,-2.4626053276375655,-5.151341066523041
60,-3.3557774559238016,-4.192616607196034
61,-1.7230523664176367,-5.123702763790926
62,-2.0582481341178442,-3.0263079008926272
63,-2.0586027199568386,-3.5638689097716787
64,-4.27433980410514,-1.869050888845664
65,-4.632366655771982,-1.6843339861838005
66,-5.035016680869734,-3.3866324016975593
67,-4.882883539319948,-2.7682129028989175
68,-2.1709429993190317,-1.8513886527591907
69,-1.3795238245927894,-2.6517888386866426
70,-2.476245228256645,-2.4953397540767996
71,-4.694056670728696,0.4876468597193806
72,-1.0199769156621636,-1.6700247304469968
73,-1.0959514229153087,2.4692909210134477
74,-1.0607984463531508,1.2957916112314585
75,-1.7384850890624506,0.2930063270329768
76,-2.5228378266425473,-1.259848748000663
77,-3.7469219119278394,-2.358780085521242
78,-0.4468097244158955,-1.6859311867481277
79,-4.1528115022497385,0.42267731948728127
80,-5.590399270539572,-1.3559133949539608
81,-5.565022219673667,-1.7552716440983827
82,-1.9285182059124262,-2.784288924758487
83,-2.8239016108375252,-2.336839792953062
84,-3.1775647662170563,0.03271219546557269
85,-4.979434195194833,0.9691703873823139
86,-4.5145548593708655,-0.05517351288534944
87,-3.1008072606283417,2.8969853791080276
88,-1.909121160122171,2.4153897934254296
89,-2.1789652328333906,3.075986171002833
90,0.6125545819925057,4.1271700721741205
91,-0.9163972763353839,3.467401680985612
92,0.7016960256335152,4.633483449071252
93,2.3132787100800876,2.8604344538313438
94,3.092082111364609,1.888737716441673
95,2.795833322918731,3.1647721828435524
96,1.2332697931088166,5.860284283574511
97,1.0473622603815895,4.440334041216497
98,1.9385187033341702,5.561418658145548
99,5.23248987945318,6.0934470333258535
100,5.837629588116406,1.803255292865606
101,4.085400419755102,5.741736956484207
102,4.221329642249219,2.3750682152296836
103,0.14345026835574787,0.7821706296397491
104,-0.796898752064385,3.109601594322293
105,-1.0952592544937907,1.3980931935812235
106,1.1503256455469002,-0.06735128492316034
107,1.8051876230256099,-0.5105060550529176
108,-0.5512014206614532,0.20402512818701524
109,0.5539801029645185,2.4064819852870207
110,-0.43572250990865435,6.0270901898530695
111,1.2978445923854267,2.7716700765713767
112,1.9669745142532662,3.9292387986377113
113,3.4894417871047327,2.751521536065152
114,5.324055745751963,3.6545784648427366
115,7.984949062434055,4.962037820433023
116,5.5184777667059475,4.832394023796533
117,7.89691865049029,2.0301759323439654
118,6.618136189727306,4.25491097787153
119,6.082258172092406,4.129374887500096
120,4.8466162547678255,3.844093663539323
121,3.5107837263819635,5.674462983361486
122,8.037604210248215,8.469575586280738
123,4.670375708650651,7.498013482719404
124,5.842127837541417,8.1918667683462
125,3.3446553508528196,6.767828399960682
126,4.561829269754235,8.964123237440267
127,4.746732838884613,10.161040781911009
128,4.782068767253339,9.613233435933687
129,3.2405388457973165,10.879130445803666
130,0.922982766633031,8.348966206516387
131,3.652465885801654,5.468652740160234
132,3.3911132650200857,5.5088946765168725
133,3.3769623184127395,4.0756869854936335
134,4.318511807309928,4.316842508917193
135,5.086411086255944,2.043678862016873
136,3.4607763734498813,4.753030326540337
137,3.77556359440098,5.998072990748349
138,2.124305946607306,9.780236602231367
139,1.2574210795254919,8.07695717482306
140,1.0732508153410216,6.172931003527163
141,4.105990779099268,4.249460337885143
142,7.481559929063006,7.075667304250694
143,7.671734727086146,7.652625071086428
144,5.399957108905825,10.055314557171767
145,6.102394525693539,8.792755804929278
146,6.776219351283044,11.344738073852346
147,6.190135939373459,10.658977956770233
148,7.353831559212515,8.9533722672033
149,7.6229207608882525,11.449430343717415
150,8.979762655246383,9.281875442543004
151,8.537066706984218,10.66142021609856
152,9.002619409497065,8.459632033864947
153,9.103439250988718,9.759736270730388
154,7.7328758272380655,11.73242185724974
155,5.968041153348266,11.486370334694177
156,4.770169847450827,8.480280709420883
157,2.2673518566194586,8.781835765913542
158,5.461336929073257,8.545049956445366
159,6.860387888415199,6.071714862433435
160,5.433503917333016,9.282667246233272
161,7.56070512564842,5.877820285967648
162,7.770802607350134,8.369338948221184
163,8.599247242711568,8.332787626224302
164,7.34732534779153,9.143581534157219
165,5.36624914898065,9.339459661251512
166,8.052867331024682,11.258489122380693
167,7.954305786779504,8.194245973552512
168,11.965753556701792,8.514183161473607
169,11.610514734462143,8.398420593401857
170,9.98106190460187,11.703299459464453
171,8.008489087409858,11.619486001225452
172,7.936446324384546,11.782236094976776
173,5.794312648592447,12.576612792307541
174,6.784086106329063,12.203032346388527
175,7.25634023719535,13.292725334770395
176,7.959535131594347,11.083762764420587
177,7.8099492367635515,10.290750728855238
178,12.650497023600776,10.825391914957189
179,11.469890540255907,10.863781918249181
180,10.763986894584795,11.72021256957657
181,13.455551850887415,10.984823569924306
182,16.258889572958076,9.516543134703827
183,15.005882769260543,9.614933947920157
184,12.52780297445334,10.275059047114375
185,9.117683247349465,10.952632194116967
186,9.103968366894557,11.747535206750802
187,10.601063958760465,10.840324668716741
188,10.721121103513347,14.654949475748305
189,14.780109549139068,14.243749072537296
190,13.31084564633091,16.10574729811296
191,13.43164617317521,11.127566534147821
192,11.64955445208393,10.31592685676502
193,10.465288501407715,10.030397905946957
194,10.37678444679136,12.675026464567278
195,10.566352015042758,11.243419911277758
196,7.8602920736189885,11.249938592218577
197,6.430205990157476,8.343300421051723
198,6.851050593718009,9.46869926103417
199,5.175116380913699,8.676379585975274
200,6.129899897716663,12.02640797858606
201,4.357699025357613,9.77332949334353
202,6.105175337788272,8.605416892930098
203,7.2039489191505215,8.410488155627402
204,9.173864872423977,10.973741209844976
205,8.002494281932218,12.435409564350046
206,7.31951288913693,13.647374344883053
207,6.519050756204678,15.977435788248709
208,7.2268413451330975,12.162641027198767
209,7.723846091849037,13.487571834961512
210,9.736665369534158,14.90019343517144
211,9.584207094614136,15.275760293228416
212,12.23388078365179,11.730117456328035
213,11.081926863957525,13.10137394141751
214,10.303474036623976,11.996054021829679
215,8.189773279336293,10.901204434674405
216,12.708869040049581,11.377473235183079
217,11.733301280928396,13.926469296084385
218,11.206403708491948,13.111794068248242
219,9.924589678770825,12.146781327598083
220,8.482529553355208,11.07118744905644
221,11.069799720798335,10.69258193981005
222,8.913841149345965,9.403442360983115
223,7.59907831754141,11.291007358117197
224,7.6203800474427945,12.523368785624829
225,10.39564380304706,12.913716943843681
226,13.22357650819109,12.998235345875756
227,12.878737542237552,12.976123948445581
228,10.50653545805689,13.319610117900273
229,11.45754716285321,15.703118018801177
230,7.155131892717704,10.702270029080562
231,6.609340802061903,9.409227156010513
232,8.506682537862249,10.502613208516628
233,7.577529620375541,9.574102617557656
234,9.345330904094704,7.958869791844081
235,8.79008354655283,11.825899189380259
236,10.809427829500688,13.426498115502323
237,6.774322353661528,9.856342220136348
238,4.8692350656103,8.084149235322743
239,8.924509744226329,7.745319782952736
240,11.418732316096085,8.762211091391048
241,10.55960866842779,8.342448702737052
242,10.379783798672694,8.930626419018646
243,12.05151010461,8.020709013976902
244,12.31193952505517,8.893691094307497
245,13.210407794909175,7.82900990868855
246,15.239658686816117,10.158462022784352
247,13.902705002060861,11.675088660402622
248,11.805073504034189,10.565526933536308
249,10.176092146380473,14.108495639099386
250,9.725764653664946,15.771572756978733
251,11.844960002493869,13.856918519164653
252,11.564486490033238,12.243894440456973
253,7.576579453610183,11.621651151083269
254,7.364610398001398,11.010380448921847
255,11.205139333999359,10.934492264356788
256,10.290042316465758,8.91021758840936
257,9.213663911331,10.358232547882647
258,8.93276041818558,7.235110714462301
259,9.888534673657832,8.154837994598036
260,6.98487197595849,9.04123517633643
261,8.643986300142455,9.964940499779466
262,10.218306401210661,11.030500357008288
263,11.07882035798228,7.379093001060143
264,11.857189821398533,8.193463080825037
265,10.14441004953681,9.224041814737948
266,12.967872367930259,8.76984342555318
267,9.232731604220701,9.425789354033753
268,9.620741455264229,7.6147768259312
269,6.394241801974083,8.787881712284754
270,7.940566855027926,9.165035239381595
271,6.041168312683395,7.717677722989337
272,4.499144302931278,8.70906199524222
273,4.559220498393747,6.912618164532618
274,5.89396182683173,8.096967375643075
275,5.169080875499871,6.552484855560957
276,5.524774024399094,5.512262124609772
277,7.5540766632484,7.396205335289157
278,7.285769660830924,4.681794227592325
279,8.211867226464621,6.86026926990216
280,9.77211004197334,8.81009225245629
281,9.270856044674657,7.061042259597658
282,8.549327556421417,6.5766987791615925
283,6.631072049071187,4.066192198518348
284,6.077420120001165,4.171139988936793
285,3.9153747115791653,5.109833743281879
286,0.7951975905530007,5.279747949285668
287,3.106888090908659,4.983701968718022
288,2.337860488795532,3.2124387941040258
289,2.5314278809975086,5.48358690691059
290,1.2636987749083022,4.453261630345168
291,0.7754421839141797,3.662627989975183
292,1.2491217492609912,8.60053146667109
293,-1.2727037406796708,7.513600915038351
294,-0.2878682495531404,5.8940185454661105
295,-0.6999930102246191,6.64119795375165
296,-0.47481144087090127,5.885202717676419
297,-0.8406441775104807,8.019337477398617
298,-1.751568346090434,8.018421421899278
299,0.7247916287728642,3.9895262794268724
300,2.221559204526028,2.970674876707165
301,0.8921810937566066,4.249962492956679
302,-0.6300997695026924,4.917543225524661
303,-0.5953907448038156,3.0044851083910338
304,-1.4569837970474875,2.682456979606832
305,-0.5657264831920447,3.473690983952407
306,0.21383656839220766,2.5263627835462565
307,-0.037493001668317594,2.690550453409585
308,0.6944201483935579,4.309574240466693
309,1.661153827990172,4.709509348571391
310,-0.6386752187198088,2.5542230287118866
311,-1.4057045784328595,2.461380004317997
312,-1.3229199950476276,-0.4998009915545337
313,-0.08413362164182248,-0.39211284628416154
