,NO-N,NO-S
180,95968.82464029714,175657.92295658053
181,87707.13666993272,177648.62803925766
182,89328.61862529711,207725.9371817996
183,90860.82051704235,208819.23199634935
184,97109.08500363982,202911.23038056193
185,106384.873356132,197563.24812473846
186,105413.05649765255,189516.3620058802
187,96398.4656761926,182532.34963165887
188,94918.05300250452,148974.5078436762
189,91227.02830883386,170793.01587912548
190,95330.77130507624,165604.5701093624
191,94725.5769590472,196250.72260015053
192,99708.12301614965,202537.72743168176
193,101823.14455665837,202932.0874112219
194,96989.90899486958,168198.1111975537
195,95326.19167959537,175628.25523342562
196,109475.14993362242,194183.18933863164
197,113475.57783304891,218754.30603190078
198,112079.14284749655,209211.1933846257
199,116781.7429191076,215347.2540570109
200,113255.91699765844,187337.57261715925
201,112862.72691656766,190868.6162044777
202,107090.67750370904,196238.56059226173
203,111205.98022686478,216367.37189733106
204,106240.32615803741,198203.083190873
205,109042.69216928718,186032.74937327497
206,111126.79487571452,176509.6487905711
207,112229.69452557706,162377.80725735042
208,105296.56520850092,172201.29855258577
209,102822.11104294859,158095.04693265862
210,104527.00090534304,165664.31865214102
211,105158.22033591104,164592.08034084228
212,97884.1817319777,191543.08640185645
213,101205.00314374833,180775.46462292795
214,102249.86246424333,187574.72333808214
215,102757.23536144999,182056.70553351534
216,89676.19998634393,174580.91756139137
217,99261.70957642626,173271.8731933122
218,100880.35589597686,181498.810307734
219,103973.97024128272,188287.7566849673
220,108059.82531829627,196636.99444375228
221,100228.99929285426,197758.54702982664
222,100847.80948377609,193758.4865697616
223,103151.13381392111,175256.4619474488
224,110107.8174640017,184234.0782281736
225,103018.39572367455,183046.35592848738
226,95274.2735925193,181635.47949132606
227,96466.66721076066,181754.02324601868
228,101714.37297644702,177233.98638295525
229,94139.8497902731,147054.00096005018
230,104321.85665216537,179856.17470107216
231,112774.0102042601,208564.3801537629
232,107999.740250976,201883.93264515355
233,110163.35855358954,208387.69343080226
234,105784.54796567463,220953.0459579854
235,106240.79630409018,188904.11645502434
