,NO-N,NO-S
157,8.586658795066874,10.830640246590495
158,8.692906945003593,10.939738249092724
159,8.797512006496238,11.046888069688567
160,8.90044281226607,11.152057782883434
161,9.00166869388206,11.25521605315953
162,9.101159490898599,11.356332144312347
163,9.198885559841864,11.455375928608541
164,9.294817783042145,11.552317895762595
165,9.38892757730951,11.647129161729428
166,9.481186902450231,11.73978147731047
167,9.571568269621395,11.830247236570553
168,9.66004474952128,11.918499485063174
169,9.746589980412972,12.004511927861596
170,9.831178175978907,12.088258937393487
171,9.913784133003949,12.169715561076703
172,9.994383238884748,12.24885752875397
173,10.07295147896308,12.325661259924187
174,10.14946544368111,12.400103870768335
175,10.223902335556263,12.472163180967694
176,10.296239975973819,12.541817720312569
177,10.366456811795043,12.609046735099337
178,10.43453192177901,12.673830194314078
179,10.500445022816116,12.736148795600851
180,10.564176475971456,12.795983971012848
181,10.625707292336314,12.853317892544784
182,10.685019138685918,12.908133477444746
183,10.742094342941865,12.960414393304058
184,10.796915899437566,13.010145062923558
185,10.849467473985094,13.057310668954827
186,10.899733408742007,13.101897158315076
187,10.947698726876615,13.143891246374267
188,10.993349137030371,13.183280420913304
189,11.036671037575998,13.220052945852075
190,11.077651520670122,13.254197864746232
191,11.116278376099192,13.285705004051692
192,11.15254009491754,13.314564976155859
193,11.186425872876477,13.340769182174682
194,11.21792561364346,13.364309814514709
195,11.247029931810303,13.385179859199377
196,11.273730155689574,13.403373097958838
197,11.298018329898348,13.4188841100827
198,11.319887217728532,13.431708274035149
199,11.339330303303047,13.441841768831935
200,11.356341793517242,13.449281575178844
201,11.370916619764978,13.454025476371303
202,11.383050439448816,13.456072058954849
203,11.392739637273902,13.455420713146278
204,11.399981326325161,13.452071633015324
205,11.404773348927447,13.446025816426834
206,11.407114277288432,13.43728506474346
207,11.407003413924024,13.42585198228893
208,11.40444079186617,13.4117299755721
209,11.399427174653031,13.394923252271955
210,11.391964056101472,13.375436819983946
211,11.382053659861985,13.353276484727955
212,11.369698938756136,13.328448849218379
213,11.354903573896781,13.300961310896845
214,11.337671973591261,13.270822059728129
215,11.318009272027943,13.238040075759928
216,11.295921327746477,13.202625126447254
217,11.271414721892235,13.16458776374219
218,11.244496756255439,13.123939320949923
219,11.215175451095588,13.080691909351957
220,11.183459542751798,13.034858414597537
221,11.149358481039812,12.986452492864355
222,11.112882426436371,12.93548856678964
223,11.07404224705192,12.881981821172936
224,11.032849515392417,12.825948198451737
225,10.98931650491128,12.767404393951429
226,10.943456186352485,12.706367850910858
