,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.21575546,271893793.9076154,422624582.0631452,249827507.46380755
1,3250.0,1900.0,472434989.430312,269191760.60188454,417179129.9756631,245875986.91398624
2,3250.0,1950.0,467052634.7893423,266574929.3757905,411814501.1864114,241959245.99439448
3,3250.0,2000.0,461760576.2928458,264042105.79467237,406534693.0613731,238062035.81721362
4,3250.0,2050.0,456558813.9408224,261589642.26466864,401336414.0634491,234238232.8231546
5,3250.0,2100.0,451447347.7332736,259219371.65496215,396215308.4468094,230408843.32217723
6,3250.0,2150.0,446426177.6701976,256930124.21401504,391172362.1452841,226711794.0413525
7,3250.0,2200.0,441495303.75159526,254714498.76887912,386207591.4253807,223076303.90390107
8,3250.0,2250.0,436654725.9774663,252573277.48657104,381315688.6826654,219479571.458938
9,3250.0,2300.0,431904444.34781104,250506890.92630684,376491989.8412915,215894311.00885236
10,3250.0,2350.0,427244458.86262923,248516489.89824718,371735111.8712339,212337139.30630612
11,3250.0,2400.0,422674769.5219209,246597275.3529261,367052471.48265994,208920743.8542342
12,3250.0,2450.0,418195376.3256863,244746946.3688289,362440942.82494426,205497154.54574174
13,3250.0,2500.0,413806279.2739252,242958254.66964,357884143.14368474,202171317.06831798
14,3250.0,2550.0,409507478.3666372,241237211.3706555,353396370.14211726,198902297.76743633
15,3250.0,2600.0,405298973.6038232,239583263.50376555,348976977.9938682,195607649.89926693
16,3250.0,2650.0,401180764.98548234,238001059.20562175,344619698.53019977,192445138.52067125
17,3250.0,2700.0,397152852.51161504,236482548.0770976,340316948.6759145,189241169.2508717
18,3250.0,2750.0,393215236.18222135,235024797.42524722,336075111.19731057,186104498.16657293
19,3250.0,2800.0,389367915.9973013,233629017.92601508,331894518.71007687,182979378.5347413
20,3250.0,2850.0,385610891.95685446,232294487.41521534,327774428.92105603,179914259.71975282
21,3250.0,2900.0,381944164.06088144,231019773.0418038,323703104.6137989,176967998.63822547
22,3250.0,2950.0,378367732.3093818,229809205.5617134,319676794.5426428,174006765.38691625
23,3250.0,3000.0,374881596.7023556,228658286.77691892,315699329.04083985,171021619.4079049
24,3250.0,3050.0,371485757.2398031,227569902.74984348,311775738.294253,168122575.72901866
25,3250.0,3100.0,368180213.921724,226541974.49160394,307900688.9507758,165253738.45313728
26,3250.0,3150.0,364964966.74811846,225577058.14012802,304083541.90733343,162398460.31924775
27,3250.0,3200.0,361840015.7189865,224674013.63499808,300314533.1535466,159627823.73534608
28,3250.0,3250.0,358805360.8343279,223831897.9470644,296591020.1465065,156887953.49501047
29,3250.0,3300.0,355861002.09414274,223049872.92650482,292923382.0856874,154196447.746653
30,3250.0,3350.0,353006939.4984313,222325508.37189767,289302397.77708876,151551804.35715932
31,3250.0,3400.0,350243173.0471932,221659205.82414955,285735365.5283871,148977456.56322518
32,3250.0,3450.0,347569702.74042875,221047436.95079288,282223152.66685075,146411956.78696376
33,3250.0,3500.0,344986528.5781379,220493257.70666015,278760167.16646636,143772777.03450713
34,3250.0,3550.0,342493650.56032044,219998794.52239442,275354000.33065283,141326971.25262755
35,3250.0,3600.0,340091068.6869765,219561501.70816058,271993518.9068642,138937978.19280148
36,3250.0,3650.0,337778782.95810604,219188687.56704798,268673675.3046642,136348485.09512797
37,3250.0,3700.0,335556793.3737092,218881349.51067066,265391463.8557874,133940057.16423748
38,3250.0,3750.0,333425099.9337857,218630039.84451127,262165753.60881317,131581344.10814665
39,3250.0,3800.0,331383702.63833594,218437110.7343762,258993174.9438637,129264971.21364078
40,3250.0,3850.0,329432601.48735964,218302817.18495578,255860781.62830448,127007709.35372587
41,3250.0,3900.0,327571796.48085666,218225138.0872521,252758173.6910044,124732667.4381017
42,3250.0,3950.0,325801287.61882746,218210939.49986202,249715432.55930355,122532690.69324474
43,3250.0,4000.0,324121074.9012716,218254534.4720978,246725475.88160852,120426499.49572712
44,3250.0,4050.0,322531158.3281894,218356446.25130147,243780518.60760638,118222944.97217238
45,3250.0,4100.0,321031537.8995805,218522368.0480668,240880934.96418256,116156885.39993449
46,3250.0,4150.0,319622213.61544526,218750938.56313094,238046292.3120464,114186802.18658714
47,3250.0,4200.0,318303185.4757834,219042362.03506404,235244570.62873524,112278302.37256123
48,3250.0,4250.0,317074453.48059523,219396631.55242875,232481669.76954404,110399099.2512966
49,3250.0,4300.0,315936017.62988055,219810482.21159527,229765087.6416637,108464255.07805653
50,3250.0,4350.0,314887877.9236395,220287027.34287754,227107473.05772975,106696444.72327715
51,3250.0,4400.0,313930034.36187154,220826133.72798744,224508350.35368282,104905791.9801088
52,3250.0,4450.0,313062486.9445774,221427949.77083406,221954765.92111441,103128156.84942348
53,3250.0,4500.0,312285235.6717568,222092716.04265133,219432648.02668917,101578076.07845074
54,3250.0,4550.0,311598280.54340965,222819545.6260488,216960300.43324336,99916255.3838292
55,3250.0,4600.0,311001621.55953604,223608988.9994988,214539655.49078143,98270142.32052605
56,3250.0,4650.0,310495258.7201359,224458312.4016567,212193816.5963995,96736220.28255585
57,3250.0,4700.0,310079192.02520925,225373685.80261222,209894488.99604255,95210311.8576048
58,3250.0,4750.0,309753421.47475636,226359342.10087535,207634806.81151736,93800318.39232896
59,3250.0,4800.0,309517947.0687766,227411296.02886716,205431818.1449533,92542414.15165064
60,3250.0,4850.0,309372768.80727065,228524270.22970986,203273371.0118202,91353545.68062665
61,3250.0,4900.0,309317886.6902382,229703020.3866786,201164439.36691245,90113897.59684363
62,3250.0,4950.0,309353300.717679,230947241.13977292,199102689.11663496,88980523.39440495
63,3250.0,5000.0,309479010.8895935,232259955.36295214,197101586.27076772,87890464.48276617
64,3250.0,5050.0,309695017.20598155,233642981.22823358,195172467.4212205,86800154.40765505
65,3250.0,5100.0,310001319.6668432,235092271.57075176,193297073.32024938,85838336.86418156
66,3250.0,5150.0,310397918.2721782,236606946.89687917,191459639.95063806,84934919.02132481
67,3250.0,5200.0,310884813.0219867,238185211.3609888,189682792.1948422,84137888.09653914
68,3250.0,5250.0,311462003.91626894,239829013.80459732,187936461.15058458,83364382.95451558
69,3250.0,5300.0,312129490.9550245,241539390.59468338,186253250.8178958,82635330.01267664
70,3250.0,5350.0,312887274.1382534,243318786.41683662,184624506.4245735,81835818.70378295
71,3250.0,5400.0,313735353.4659561,245169787.84928155,183044296.33098617,81161739.4372829
72,3250.0,5450.0,314673728.93813217,247090649.47043532,181502534.99538746,80612890.8561708
73,3250.0,5500.0,315702400.5547818,249084244.84388056,180026703.3281063,80019899.52626206
74,3250.0,5550.0,316821368.3159051,251148920.9281312,178608145.95681295,79516583.60984041
75,3250.0,5600.0,318030632.22150177,253286458.02816564,177260373.3404928,79029533.71799041
76,3250.0,5650.0,319330192.271572,255493328.4613609,175982857.72524735,78609877.94017714
77,3250.0,5700.0,320720048.4661157,257769718.62602246,174761460.58847192,78380250.67827445
78,3250.0,5750.0,322200200.80513287,260113291.75565866,173619524.0628135,78211752.44277145
79,3250.0,5800.0,323770649.28862375,262528746.56582162,172534151.6126984,78039450.54451586
80,3250.0,5850.0,325431393.9165878,265016783.30549088,171519841.5489961,77962958.60659713
81,3250.0,5900.0,327182434.68902564,267576261.18667698,170559248.60718977,77853289.68626122
82,3250.0,5950.0,329023771.60593706,270208788.001177,169676479.845856,78001132.13442639
83,3250.0,6000.0,330955404.6673217,272913632.76254123,168861442.91476068,78247178.31430379
84,3250.0,6050.0,332977333.87318003,275693070.5648222,168093449.69571185,78445177.22346912
85,3250.0,6100.0,335089559.2235119,278545772.67693937,167428674.35688213,78797168.75382648
86,3250.0,6150.0,337292080.7183172,281472548.93225133,166785113.23493066,79216464.59223358
87,3250.0,6200.0,339584898.35759616,284475452.5437756,166217816.1845794,79683025.68256049
88,3250.0,6250.0,341968012.14134866,287554049.4280356,165691634.93100557,80201315.84650034
89,3250.0,6300.0,344441422.0695743,290709048.72251153,165240810.09275112,80725875.36649713
90,3250.0,6350.0,347005128.1422738,293938337.4234959,164877143.44302806,81433837.21983013
91,3250.0,6400.0,349659130.3594467,297245621.40636086,164579704.39174506,82247771.14089191
92,3250.0,6450.0,352403428.7210933,300630861.2253384,164372786.4746822,83058154.52815023
93,3250.0,6500.0,355238023.22721297,304092636.3680315,164212995.86819875,84068566.47211084
94,3250.0,6550.0,358162913.8778066,307630266.436216,164129052.43044826,85112379.66287352
95,3250.0,6600.0,361178100.67287374,311246164.6869335,164154706.86299846,86220226.32044151
96,3250.0,6650.0,364283583.61241394,314935846.0390419,164230180.10101974,87415096.9922748
97,3250.0,6700.0,367479362.696428,318700562.5174649,164361333.02679813,88639583.5960156
98,3250.0,6750.0,370765437.9249158,322539047.5712079,164580007.54871508,89976559.57943691
99,3250.0,6800.0,374141809.29787683,326452103.96382296,164858164.8633037,91280201.19558956
100,3250.0,6850.0,377608476.81531113,330442442.8868464,165198054.24836802,92768669.66916336
101,3250.0,6900.0,381165440.47721946,334511731.7727873,165592945.6011518,94222139.42501812
102,3250.0,6950.0,384812700.283601,338658262.9077176,166071828.76604882,95818360.96679285
