,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.2157555,272906543.81820947,424375498.8958086,252001066.89999354
1,3250.0,1900.0,472434989.43031204,270146684.18643534,418930046.808327,247982047.93301964
2,3250.0,1950.0,467052634.7893425,267472376.548507,413565418.0190748,244059413.7011757
3,3250.0,2000.0,461760576.29284567,264883026.40639973,408285609.89403677,240023625.71504965
4,3250.0,2050.0,456558813.94082284,262377145.68497673,403087330.8961125,236073681.920998
5,3250.0,2100.0,451447347.73327374,259954968.93684644,397966225.2794727,232222746.87991452
6,3250.0,2150.0,446426177.67019767,257616293.47318393,392923278.9779476,228364374.31651452
7,3250.0,2200.0,441495303.751595,255353772.7968133,387958508.2580442,224593223.48185408
8,3250.0,2250.0,436654725.9774664,253168392.97998992,383066605.5153288,220875316.98429143
9,3250.0,2300.0,431904444.3478112,251060989.6699249,378242906.6739551,217166818.2407157
10,3250.0,2350.0,427244458.8626294,249031758.50021318,373486028.7038972,213539307.64185783
11,3250.0,2400.0,422674769.521921,247076562.46993947,368803388.3153234,209929229.79259464
12,3250.0,2450.0,418195376.32568634,245192881.4543082,364191859.6576077,206463608.35653535
13,3250.0,2500.0,413806279.273925,243372042.76499164,359635059.9763485,203064506.1050697
14,3250.0,2550.0,409507478.36663735,241620027.53123856,355147286.9747807,199700917.4133426
15,3250.0,2600.0,405298973.60382307,239937163.12900433,350727894.82653177,196377250.77321103
16,3250.0,2650.0,401180764.98548216,238327951.9737866,346370615.362863,193033102.74446565
17,3250.0,2700.0,397152852.51161504,236784241.37649825,342067865.50857794,189817230.99175277
18,3250.0,2750.0,393215236.1822213,235303289.22348863,337826028.0299739,186595049.22564873
19,3250.0,2800.0,389367915.9973011,233886223.41378555,333645435.5427405,183336719.28565103
20,3250.0,2850.0,385610891.9568546,232532278.8272184,329525345.7537195,180232486.66130805
21,3250.0,2900.0,381944164.06088126,231239173.1025625,325454021.4464624,177174504.0268882
22,3250.0,2950.0,378367732.3093818,230011677.34672305,321427711.3753062,174143350.72232667
23,3250.0,3000.0,374881596.7023556,228844785.87680405,317450245.8735034,171150971.30301157
24,3250.0,3050.0,371485757.239803,227740990.31842113,313526655.1269166,168171811.44482255
25,3250.0,3100.0,368180213.92172396,226698896.82479963,309651605.7834394,165217996.56469128
26,3250.0,3150.0,364964966.7481182,225720601.62040198,305834458.73999685,162345832.03019917
27,3250.0,3200.0,361840015.7189865,224804647.80786014,302065449.98621,159547383.2197608
28,3250.0,3250.0,358805360.8343282,223950126.19119233,298341936.97916996,156780557.3282114
29,3250.0,3300.0,355861002.0941427,223156550.75183198,294674298.9183509,154048866.90410936
30,3250.0,3350.0,353006939.49843115,222421522.84544808,291053314.60975224,151385843.67411637
31,3250.0,3400.0,350243173.0471933,221745074.8432418,287486282.36105055,148756872.06728822
32,3250.0,3450.0,347569702.74042875,221123907.31341904,283974069.4995141,146197441.18850312
33,3250.0,3500.0,344986528.5781379,220561100.23517114,280511083.9991299,143500982.25570443
34,3250.0,3550.0,342493650.5603204,220059199.2983461,277104917.16331637,140953661.6647896
35,3250.0,3600.0,340091068.6869766,219615578.44312108,273744435.73952776,138494817.66872287
36,3250.0,3650.0,337778782.958106,219237088.25550663,270424592.1373277,135908515.89884037
37,3250.0,3700.0,335556793.3737093,218924867.71192977,267142380.68845084,133452783.41374661
38,3250.0,3750.0,333425099.9337857,218669213.6977049,263916670.4414767,131076268.69200557
39,3250.0,3800.0,331383702.63833594,218472290.04823157,260744091.77652723,128673322.39445484
40,3250.0,3850.0,329432601.48735964,218334541.58869857,257611698.4609679,126415774.6874592
41,3250.0,3900.0,327571796.4808565,218253720.86209664,254509090.523668,124152120.05182803
42,3250.0,3950.0,325801287.6188274,218236569.24446362,251466349.39196694,121908449.79379906
43,3250.0,4000.0,324121074.9012715,218277393.00932106,248476392.7142721,119826221.03680724
