,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.2157555,272906543.8182096,414935452.0774876,252001066.89999348
1,3250.0,1900.0,472434989.43031204,270146684.18643534,409489999.990006,247982047.93301973
2,3250.0,1950.0,467052634.78934216,267472376.5485069,404125371.20075387,244059413.70117584
3,3250.0,2000.0,461760576.2928458,264883026.4063996,398845563.07571584,240023625.71504948
4,3250.0,2050.0,456558813.94082296,262377145.68497682,393647284.07779175,236073681.92099804
5,3250.0,2100.0,451447347.73327345,259954968.93684644,388526178.4611517,232222746.87991446
6,3250.0,2150.0,446426177.67019767,257616293.473184,383483232.15962684,228364374.31651455
7,3250.0,2200.0,441495303.75159544,255353772.7968133,378518461.43972313,224593223.48185432
8,3250.0,2250.0,436654725.9774664,253168392.97998992,373626558.69700813,220875316.98429137
9,3250.0,2300.0,431904444.34781104,251060989.66992489,368802859.85563415,217166818.24071568
10,3250.0,2350.0,427244458.8626293,249031758.5002131,364045981.88557625,213539307.64185792
11,3250.0,2400.0,422674769.521921,247076562.46993953,359363341.49700254,209929229.79259455
12,3250.0,2450.0,418195376.3256861,245192881.4543082,354751812.8392868,206463608.3565354
13,3250.0,2500.0,413806279.27392495,243372042.76499167,350195013.15802735,203064506.10506976
14,3250.0,2550.0,409507478.3666371,241620027.5312386,345707240.15645975,199700917.4133424
15,3250.0,2600.0,405298973.6038232,239937163.12900445,341287848.0082108,196377250.7732111
16,3250.0,2650.0,401180764.98548216,238327951.9737865,336930568.5445423,193033102.74446568
17,3250.0,2700.0,397152852.51161504,236784241.37649813,332627818.69025713,189817230.9917528
18,3250.0,2750.0,393215236.18222135,235303289.2234885,328385981.2116528,186595049.2256487
19,3250.0,2800.0,389367915.9973013,233886223.41378564,324205388.7244195,183336719.28565106
20,3250.0,2850.0,385610891.9568546,232532278.82721856,320085298.93539846,180232486.66130805
21,3250.0,2900.0,381944164.0608814,231239173.1025624,316013974.6281415,177174504.0268882
22,3250.0,2950.0,378367732.3093817,230011677.34672302,311987664.5569853,174143350.72232667
23,3250.0,3000.0,374881596.7023555,228844785.87680417,308010199.0551825,171150971.3030116
24,3250.0,3050.0,371485757.23980296,227740990.31842113,304086608.3085956,168171811.44482255
25,3250.0,3100.0,368180213.921724,226698896.8247995,300211558.96511847,165217996.56469128
26,3250.0,3150.0,364964966.7481182,225720601.62040207,296394411.9216759,162345832.03019917
27,3250.0,3200.0,361840015.71898645,224804647.80786014,292625403.1678892,159547383.21976078
28,3250.0,3250.0,358805360.83432776,223950126.1911924,288901890.1608491,156780557.3282114
29,3250.0,3300.0,355861002.0941427,223156550.751832,285234252.1000299,154048866.9041093
30,3250.0,3350.0,353006939.4984314,222421522.84544805,281613267.79143125,151385843.6741163
31,3250.0,3400.0,350243173.0471933,221745074.84324178,278046235.5427298,148759342.25709632
32,3250.0,3450.0,347569702.74042875,221123907.31341892,274534022.6811932,146196180.9512147
33,3250.0,3500.0,344986528.578138,220561100.23517108,271071037.18080896,143500470.43520272
