,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.2157557,272906543.8182095,422624582.0631452,251998762.50693345
1,3250.0,1900.0,472434989.43031204,270146684.1864353,417179129.9756631,247979284.36204
2,3250.0,1950.0,467052634.7893424,267472376.54850692,411814501.1864112,244052297.43309405
3,3250.0,2000.0,461760576.2928459,264883026.40639973,406534693.06137323,240016542.3644005
4,3250.0,2050.0,456558813.94082296,262377145.68497685,401336414.06344914,236069386.45392215
5,3250.0,2100.0,451447347.73327357,259954968.9368465,396215308.44680905,232214053.50394985
6,3250.0,2150.0,446426177.67019767,257616293.47318393,391172362.1452841,228363356.1432661
7,3250.0,2200.0,441495303.75159526,255353772.7968133,386207591.4253805,224572985.4792816
8,3250.0,2250.0,436654725.9774665,253168392.97998977,381315688.6826656,220861535.51124436
9,3250.0,2300.0,431904444.34781104,251060989.66992497,376491989.84129167,217158033.50483578
10,3250.0,2350.0,427244458.86262923,249031758.50021324,371735111.87123406,213528165.5513945
11,3250.0,2400.0,422674769.5219209,247076562.46993953,367052471.48265976,209922696.96354866
12,3250.0,2450.0,418195376.32568634,245192881.45430824,362440831.9942076,206452814.25920925
13,3250.0,2500.0,413806279.2739252,243372042.7649916,357883585.39995736,203056461.56346798
14,3250.0,2550.0,409507478.36663705,241620027.53123865,353395380.72586447,199685690.57412103
15,3250.0,2600.0,405298973.603823,239937163.12900436,348973841.0450677,196366476.49956754
16,3250.0,2650.0,401180764.98548216,238327951.97378662,344617291.7167497,193018808.27984437
17,3250.0,2700.0,397152852.51161486,236784241.3764982,340311741.04205644,189804704.6550411
18,3250.0,2750.0,393215236.18222135,235303289.22348854,336064179.7678599,186577700.62130225
19,3250.0,2800.0,389367915.9973011,233886223.41378552,331877734.4389684,183301940.6735759
20,3250.0,2850.0,385610891.9568544,232532278.82721832,327751694.2191162,180194276.9931296
21,3250.0,2900.0,381944164.06088144,231239173.10256252,323669029.65930635,177123631.5448792
22,3250.0,2950.0,378367732.30938166,230011677.34672317,319627907.6391632,174088457.55174696
23,3250.0,3000.0,374881596.7023556,228844785.8768041,315636232.9182138,171069470.9670134
24,3250.0,3050.0,371485757.2398031,227740990.318421,311692852.7281806,168055428.16686568
25,3250.0,3100.0,368180213.9217241,226698896.82479945,307794177.6036206,165113685.21066943
26,3250.0,3150.0,364964966.7481183,225720601.6204021,303956311.4445052,162220250.5217981
27,3250.0,3200.0,361840015.7189863,224804647.80786026,300162830.6045092,159391306.93760657
28,3250.0,3250.0,358805360.83432794,223950126.19119236,296405326.0774104,156598743.4231683
29,3250.0,3300.0,355861002.09414285,223156550.75183198,292692084.2258271,153832639.17092273
30,3250.0,3350.0,353006939.49843127,222421522.845448,289027904.5400289,151117200.8256366
31,3250.0,3400.0,350243173.0471932,221745074.84324178,285408532.711976,148447214.8143138
32,3250.0,3450.0,347569702.7404287,221123907.31341898,281837428.0634949,145858464.90283415
33,3250.0,3500.0,344986528.578138,220561100.23517105,278294775.65854925,143080698.80932137
34,3250.0,3550.0,342493650.5603205,220059199.298346,274802459.7303962,140497348.28653294
35,3250.0,3600.0,340091068.6869765,219615578.44312096,271354807.43470454,137993640.61501765
36,3250.0,3650.0,337778782.9581061,219237088.2555067,267924511.8753823,135310622.53183597
37,3250.0,3700.0,335556793.3737092,218924867.71192986,264528844.51300856,132766719.24209519
38,3250.0,3750.0,333425099.9337857,218669213.6977049,261172085.9973857,130282335.24694498
39,3250.0,3800.0,331383702.6383358,218472290.04823142,257865156.23306766,127828459.37699074
40,3250.0,3850.0,329432601.4873596,218334541.58869866,254603384.6267172,125437617.96932246
41,3250.0,3900.0,327571796.48085666,218253720.86209664,251368002.39019594,123045855.75953913
42,3250.0,3950.0,325801287.6188273,218236569.24446362,248157180.59849465,120701518.33937064
43,3250.0,4000.0,324121074.9012715,218277393.00932097,244963526.96096137,118535669.79940286
44,3250.0,4050.0,322531158.32818913,218376615.83213657,241824853.1696675,116210228.43308638
45,3250.0,4100.0,321031537.8995805,218540023.54403123,238716822.68558273,114047283.63562678
46,3250.0,4150.0,319622213.61544526,218766332.80884773,235660176.09817597,111906043.42612186
47,3250.0,4200.0,318303185.4757834,219055900.48640403,232639606.06478232,109810008.22007562
48,3250.0,4250.0,317074453.48059535,219408529.46355286,229648100.6111818,107757606.68682323
49,3250.0,4300.0,315936017.6298805,219820942.26662198,226678843.2122821,105643047.7271033
50,3250.0,4350.0,314887877.9236395,220296220.1052519,223753942.06807357,103757698.44567133
51,3250.0,4400.0,313930034.3618715,220834258.27898315,220863719.87883952,101774408.03666605
52,3250.0,4450.0,313062486.94457746,221435172.80985954,218016161.22842613,99840942.8365112
53,3250.0,4500.0,312285235.67175686,222099195.16807282,215199798.54068676,98041690.5364519
54,3250.0,4550.0,311598280.54340965,222825338.41380683,212418229.42701507,96182820.35715105
55,3250.0,4600.0,311001621.5595359,223614113.56812054,209676030.71530128,94331399.9478656
56,3250.0,4650.0,310495258.7201358,224462813.3832279,206996853.66963196,92681768.92611992
57,3250.0,4700.0,310079192.02520937,225377688.97999883,204345944.23988926,90970093.91572528
58,3250.0,4750.0,309753421.4747563,226362935.5428878,201718451.9085876,89340088.01009741
59,3250.0,4800.0,309517947.0687764,227414519.65630195,199129084.03812,87832181.65938763
60,3250.0,4850.0,309372768.8072707,228527102.56253314,196564461.62195736,86415305.56886934
61,3250.0,4900.0,309317886.6902382,229705471.38490745,194035549.7050325,84995745.05008318
62,3250.0,4950.0,309353300.7176791,230949375.01023048,191570883.25873345,83654061.82597676
63,3250.0,5000.0,309479010.88959354,232261805.1326866,189125228.62991226,82221235.48158644
64,3250.0,5050.0,309695017.20598155,233644579.72810885,186734067.05643377,80817780.56358704
65,3250.0,5100.0,310001319.6668432,235093690.6877331,184398602.69729435,79516383.19291517
66,3250.0,5150.0,310397918.2721783,236608207.3737718,182084140.8362936,78360434.83825438
67,3250.0,5200.0,310884813.0219867,238186326.8890747,179792341.1807781,77242258.66969493
68,3250.0,5250.0,311462003.91626894,239829992.28018403,177547840.24428448,76118956.04941443
69,3250.0,5300.0,312129490.9550244,241540241.89921394,175321580.25780892,75033656.45106009
70,3250.0,5350.0,312887274.13825345,243319568.856405,173112716.971531,74049283.96705571
71,3250.0,5400.0,313735353.46595603,245170505.3239859,170964859.54280034,73040970.24217163
72,3250.0,5450.0,314673728.9381322,247091305.0391794,168900678.40672863,72115070.7139722
73,3250.0,5500.0,315702400.554782,249084838.76961195,166900734.01022297,71105566.9193249
74,3250.0,5550.0,316821368.315905,251149451.9141437,164935884.69492328,70181233.18321165
75,3250.0,5600.0,318030632.2215016,253286927.88961843,162988025.4093812,69411955.15118818
76,3250.0,5650.0,319330192.2715722,255493739.16057727,161104732.32722247,68765312.4259453
77,3250.0,5700.0,320720048.4661156,257770070.16300237,159297384.3740685,68112349.22502294
78,3250.0,5750.0,322200200.805133,260113584.13040206,157510911.45101392,67539663.07830402
79,3250.0,5800.0,323770649.28862363,262528984.34474242,155759731.2531977,66992604.31998397
80,3250.0,5850.0,325431393.9165878,265016977.03032455,154065624.61266798,66553368.70706155
81,3250.0,5900.0,327182434.68902564,267576412.41313112,152429785.00317556,66137505.38239857
82,3250.0,5950.0,329023771.6059369,270208905.324249,150843943.07429478,65845817.72229351
83,3250.0,6000.0,330955404.6673218,272913729.9465577,149343869.10022593,65694094.68271672
84,3250.0,6050.0,332977333.87318003,275693150.7443922,147899322.8844638,65481099.26795865
85,3250.0,6100.0,335089559.2235119,278545835.85206276,146479669.615375,65504276.47574235
86,3250.0,6150.0,337292080.7183172,281472595.10292834,145109426.53592753,65523837.763621025
87,3250.0,6200.0,339584898.35759616,284475481.71000594,143798374.11086485,65760012.280375555
88,3250.0,6250.0,341968012.1413486,287554069.37233025,142574013.26011804,66020722.77571893
89,3250.0,6300.0,344441422.0695743,290709065.2737975,141376547.49782097,66249306.6478794
90,3250.0,6350.0,347005128.1422737,293938350.5817735,140274795.87342668,66490940.62597758
91,3250.0,6400.0,349659130.35944676,297245631.17163014,139218724.27923194,66845493.081444845
92,3250.0,6450.0,352403428.72109306,300630867.59759927,138273553.3191504,67280621.23184328
93,3250.0,6500.0,355238023.22721314,304092639.34728414,137356899.72834975,67741994.73911282
94,3250.0,6550.0,358162913.8778066,307630266.43621606,136468762.98418227,68430896.4602763
95,3250.0,6600.0,361178100.6728736,311246164.6869336,135701792.76044217,69095359.61934355
96,3250.0,6650.0,364283583.612414,314935846.03904176,134996984.78788295,69844295.49563555
97,3250.0,6700.0,367479362.696428,318700562.51746494,134368020.8558116,70752722.59253778
98,3250.0,6750.0,370765437.92491555,322539047.5712078,133824626.87410598,71705710.66655126
99,3250.0,6800.0,374141809.2978766,326452103.96382296,133353972.16039108,72677192.4552723
100,3250.0,6850.0,377608476.81531125,330442442.8868465,132981807.8119196,73842767.71734883
101,3250.0,6900.0,381165440.4772195,334511731.77278733,132607489.86487979,75032071.18758659
102,3250.0,6950.0,384812700.28360105,338658262.9077176,132305050.16025583,76217821.49124676
103,3250.0,7000.0,388550256.234456,342881327.7045388,132101133.56826729,77507909.91242546
104,3250.0,7050.0,392378108.32978463,347181409.78164995,131955400.65712199,78880899.54280895
105,3250.0,7100.0,396296256.5695867,351559733.30051523,131850411.6093855,80347324.58006254
106,3250.0,7150.0,400304700.95386237,356016325.8449129,131863803.63417383,81935348.46075688
107,3250.0,7200.0,404403441.4826117,360552531.9240066,131999625.82505105,83504668.97315617
108,3250.0,7250.0,408592478.15583426,365167545.9513533,132246339.2520359,85216039.39556247
109,3250.0,7300.0,412871810.9735306,369860189.2358635,132539293.13415582,87124081.37469347
110,3250.0,7350.0,417241439.93570006,374630364.7453566,132958099.35433424,88963236.96610513
111,3250.0,7400.0,421701365.0423433,379480409.9222295,133565286.8364854,91091008.80185929
112,3250.0,7450.0,426251586.2934601,384409242.7199276,134373355.32082483,93397254.98773497
113,3250.0,7500.0,430892103.6890504,389417276.6030214,135140124.03590646,95799619.44878544
114,3250.0,7550.0,435622917.2291145,394505478.49390936,135992493.78813624,98192192.85334258
115,3250.0,7600.0,440444026.9136514,399672690.5902337,137012184.00369936,101031876.22212942
116,3250.0,7650.0,445355432.74266225,404920769.13145256,138201111.04570168,103889405.48702765
117,3250.0,7700.0,450357134.7161463,410249778.73208094,139530695.00609884,106984423.58870763
118,3250.0,7750.0,455449132.8341045,415659316.49966586,140956135.98455605,110293592.03184271
119,3250.0,7800.0,460631427.0965356,421150067.30729085,142542823.82625058,113785399.38885269
120,3250.0,7850.0,465904017.5034406,426719840.2690924,144239031.38702336,117144506.8107567
121,3250.0,7900.0,471266904.05481917,432371067.2214366,146086473.4874396,120674158.13533978
122,3250.0,7950.0,476720086.7506709,438103960.31686366,148118597.49628106,124359646.20876081
123,3250.0,8000.0,482263565.5909965,443918192.89989364,150247345.78148845,128214827.29646859
124,3250.0,8050.0,487897340.5757953,449812266.96125853,152408571.58521807,132250112.4310545
125,3250.0,8100.0,493621411.7050678,455787081.73816824,154768471.53466758,136738170.7637288
126,3250.0,8150.0,499435778.97881365,461842163.6936656,157269024.6387127,140883169.7030238
127,3250.0,8200.0,505340442.39703315,467977950.32233155,160081942.95078632,145263968.3619895
128,3250.0,8250.0,511335401.95972633,474197336.53673095,163174441.73535776,149915668.41541192
129,3250.0,8300.0,517420657.6668924,480498398.82743925,166184552.3181101,154505268.85458195
130,3250.0,8350.0,523596209.51853263,486881572.39480203,169366229.0339913,159253057.43796933
131,3250.0,8400.0,529862057.5146463,493347813.90741205,172898825.22656208,164280336.61043382
132,3250.0,8450.0,536218201.6552333,499896457.8195618,176517414.14551207,169216855.78809863
133,3250.0,8500.0,542664641.9402939,506526460.9617974,180280826.62888795,174094816.75912178
134,3250.0,8550.0,549201378.3698276,513238163.5071123,184427447.53686696,179311668.69135466
135,3250.0,8600.0,555828410.9438357,520033177.6293447,188957791.99317235,184729211.42094275
