,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.2157555,272906543.81820935,422866862.768661,253802203.4595089
1,3250.0,1900.0,472434989.4303121,270146684.1864354,417421410.6811793,249904947.0656715
2,3250.0,1950.0,467052634.78934234,267472376.54850698,412056781.8919274,246088058.21581674
3,3250.0,2000.0,461760576.2928461,264883026.40639973,406776973.7668895,242152681.21557686
4,3250.0,2050.0,456558813.9408231,262377145.68497682,401578694.7689651,238396207.0612567
5,3250.0,2100.0,451447347.73327357,259954968.9368465,396457589.1523252,234617673.582921
6,3250.0,2150.0,446426177.67019784,257616293.4731839,391414642.85080004,230990754.9297244
7,3250.0,2200.0,441495303.75159514,255353772.7968133,386449872.1308966,227371730.91268617
8,3250.0,2250.0,436654725.97746634,253168392.97998992,381557969.3881817,223836620.52449986
9,3250.0,2300.0,431904444.347811,251060989.66992512,376734270.5468075,220241814.54914737
10,3250.0,2350.0,427244458.8626295,249031758.50021303,371977392.5767498,216745654.26780945
11,3250.0,2400.0,422674769.521921,247076562.4699395,367294752.1881758,213334421.39699227
12,3250.0,2450.0,418195376.32568634,245192881.45430833,362683223.53046006,210138359.2108186
13,3250.0,2500.0,413806279.2739249,243372042.76499167,358126423.84920067,207017699.92383808
14,3250.0,2550.0,409507478.3666372,241620027.53123868,353638650.84763306,203806125.94723594
15,3250.0,2600.0,405298973.60382295,239937163.1290044,349219258.6993842,200604371.0712446
16,3250.0,2650.0,401180764.98548234,238327951.97378665,344861979.2357158,197451643.4926756
17,3250.0,2700.0,397152852.5116149,236784241.37649834,340559229.38143057,194475524.7418774
18,3250.0,2750.0,393215236.1822215,235303289.22348857,336317391.90282625,191430560.9711854
19,3250.0,2800.0,389367915.9973013,233886223.41378552,332136799.4155929,188513378.52822348
20,3250.0,2850.0,385610891.95685446,232532278.82721832,328016709.62657183,185721085.06965968
21,3250.0,2900.0,381944164.06088126,231239173.1025625,323945385.31931484,182823718.3340881
22,3250.0,2950.0,378367732.3093818,230011677.34672314,319919075.2481587,180100596.15288717
23,3250.0,3000.0,374881596.7023556,228844785.87680408,315941609.74635595,177349515.39034936
24,3250.0,3050.0,371485757.2398031,227740990.31842107,312018018.99976885,174653692.84512576
25,3250.0,3100.0,368180213.9217241,226698896.82479957,308142969.6562917,171967260.68874615
26,3250.0,3150.0,364964966.7481183,225720601.62040198,304325822.6128493,169303518.83455157
27,3250.0,3200.0,361840015.7189863,224804647.8078602,300556813.85906255,166723335.83940995
28,3250.0,3250.0,358805360.83432776,223950126.19119233,296833300.8520225,164197538.32919598
29,3250.0,3300.0,355861002.0941426,223156550.75183198,293165662.79120344,161722427.36772558
30,3250.0,3350.0,353006939.49843127,222421522.8454481,289544678.48260474,159356952.68029863
31,3250.0,3400.0,350243173.04719317,221745074.84324184,285977646.2339031,157008409.23587453
32,3250.0,3450.0,347569702.74042875,221123907.31341895,282465433.37236667,154804340.00516355
33,3250.0,3500.0,344986528.5781379,220561100.23517114,279002447.87198234,152369916.99492002
34,3250.0,3550.0,342493650.56032044,220059199.29834613,275596281.0361688,150076772.36079216
35,3250.0,3600.0,340091068.6869765,219615578.44312108,272235799.6123802,147850859.07374135
36,3250.0,3650.0,337778782.958106,219237088.2555067,268915956.01018023,145433992.58494377
37,3250.0,3700.0,335556793.3737093,218924867.71192986,265633744.5613034,143279458.48456073
38,3250.0,3750.0,333425099.9337858,218669213.69770488,262408034.31432933,141177824.00658944
39,3250.0,3800.0,331383702.6383359,218472290.0482315,259235455.64937964,139247420.26496333
40,3250.0,3850.0,329432601.4873595,218334541.58869863,256103062.3338203,137274092.7412248
41,3250.0,3900.0,327571796.48085654,218253720.86209664,253000454.39652047,135327758.33978358
42,3250.0,3950.0,325801287.61882746,218236569.24446374,249957713.2648194,133332405.01190417
43,3250.0,4000.0,324121074.90127146,218277393.00932094,246967756.5871244,131571778.97078323
