,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.2157555,271276793.2063826,422624582.06314516,248155473.5676633
1,3250.0,1900.0,472434989.43031204,268631858.0099453,417179129.9756633,244356006.17243356
2,3250.0,1950.0,467052634.78934234,266067552.99743813,411814501.1864114,240621070.69434765
3,3250.0,2000.0,461760576.2928458,263582390.04521984,406534693.06137323,236888990.14750478
4,3250.0,2050.0,456558813.94082296,261173447.63657528,401336414.063449,233301698.62864026
5,3250.0,2100.0,451447347.73327357,258842499.25152665,396215308.446809,229695751.5479101
6,3250.0,2150.0,446426177.6701976,256589148.5022975,391172362.1452843,226148374.22452018
7,3250.0,2200.0,441495303.75159514,254406574.2445315,386207591.425381,222589917.9478445
8,3250.0,2250.0,436654725.9774665,252295960.25401643,381315688.6826656,219146096.78897202
9,3250.0,2300.0,431904444.3478111,250257372.49381837,376491989.8412915,215663309.19739032
10,3250.0,2350.0,427244458.8626293,248292167.47904125,371735111.87123406,212242264.19921967
11,3250.0,2400.0,422674769.5219209,246395981.08424148,367052471.4826598,208931320.84497374
12,3250.0,2450.0,418195376.32568634,244566524.42049754,362440942.824944,205666601.4957074
13,3250.0,2500.0,413806279.2739249,242796565.92645076,357884143.1436847,202459794.52539212
14,3250.0,2550.0,409507478.3666372,241092343.47761783,353396370.14211714,199194548.2973502
15,3250.0,2600.0,405298973.6038229,239453806.54175508,348976977.9938682,195992978.47854897
16,3250.0,2650.0,401180764.98548234,237885528.743997,344619698.53019965,192817742.0353242
17,3250.0,2700.0,397152852.511615,236379879.7810654,340316948.6759144,189723870.331736
18,3250.0,2750.0,393215236.18222123,234933657.41486272,336075111.1973104,186662578.11265972
19,3250.0,2800.0,389367915.9973011,233548473.47885305,331894518.7100769,183612968.09551275
20,3250.0,2850.0,385610891.95685434,232223553.51391086,327774428.92105603,180715032.14082122
21,3250.0,2900.0,381944164.0608812,230957526.89224723,323703104.61379886,177778351.86405423
22,3250.0,2950.0,378367732.3093818,229755013.55013767,319676794.54264283,174855972.88040492
23,3250.0,3000.0,374881596.70235556,228611338.7566162,315699329.0408398,171936543.74186742
24,3250.0,3050.0,371485757.23980314,227529498.94482628,311775738.29425293,169054941.38353604
25,3250.0,3100.0,368180213.9217241,226507323.97116742,307900688.95077586,166213701.458622
26,3250.0,3150.0,364964966.74811846,225547328.45715833,304083541.9073334,163418932.82267684
27,3250.0,3200.0,361840015.71898633,224648268.29267913,300314533.1535466,160687870.4813533
28,3250.0,3250.0,358805360.8343279,223809566.47166893,296591020.1465065,158017003.77987185
29,3250.0,3300.0,355861002.09414274,223030509.43901333,292923382.0856874,155380229.9615804
30,3250.0,3350.0,353006939.49843127,222308745.4637206,289302397.7770889,152748747.7230876
31,3250.0,3400.0,350243173.04719317,221644512.4095958,285735365.5283871,150175146.80344117
32,3250.0,3450.0,347569702.7404289,221034576.58817205,282223152.66685057,147655115.15230468
33,3250.0,3500.0,344986528.5781379,220482007.8446655,278760167.16646636,145068545.01540446
34,3250.0,3550.0,342493650.56032056,219988976.33313096,275354000.33065283,142593255.47892028
35,3250.0,3600.0,340091068.6869765,219553045.62916148,271993518.90686435,140179397.7610944
36,3250.0,3650.0,337778782.9581061,219181540.7185545,268673675.30466425,137663375.0080747
37,3250.0,3700.0,335556793.3737092,218875400.39532775,265391463.8557873,135266630.80275813
38,3250.0,3750.0,333425099.9337858,218625083.6649985,262165753.6088133,132905132.7789702
39,3250.0,3800.0,331383702.6383359,218432950.83195797,258993174.94386384,130586041.73878267
