,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.21575546,272906543.81820947,422750762.9194884,251908853.3966706
1,3250.0,1900.0,472434989.4303121,270146684.18643534,417305310.8320065,247877408.40623653
2,3250.0,1950.0,467052634.7893421,267472376.548507,411940682.04275465,243951722.23591202
3,3250.0,2000.0,461760576.2928459,264883026.40639973,406660873.9177165,239899331.28927636
4,3250.0,2050.0,456558813.94082296,262377145.68497676,401462594.9197925,235959759.73088005
5,3250.0,2100.0,451447347.7332737,259954968.93684646,396341489.30315244,232074961.95790082
6,3250.0,2150.0,446426177.67019767,257616293.473184,391298543.00162727,228212806.38938046
7,3250.0,2200.0,441495303.7515953,255353772.79681328,386333772.2817238,224436716.54499424
8,3250.0,2250.0,436654725.97746634,253168392.97998998,381441869.5390089,220732743.76711804
9,3250.0,2300.0,431904444.34781104,251060989.66992486,376618170.69763476,217000701.7878073
10,3250.0,2350.0,427244458.8626294,249031758.50021312,371861292.72757727,213347266.85596645
11,3250.0,2400.0,422674769.521921,247076562.46993947,367178652.33900315,209719561.48039424
12,3250.0,2450.0,418195376.32568634,245192881.45430827,362567012.8505509,206230150.154247
13,3250.0,2500.0,413806279.27392495,243372042.76499164,358009766.25630057,202785847.72443756
14,3250.0,2550.0,409507478.3666374,241620027.53123868,353521581.00865364,199432215.5923708
15,3250.0,2600.0,405298973.603823,239937163.12900448,349100513.2052215,196102849.19940647
16,3250.0,2650.0,401180764.9854821,238327951.9737866,344744444.25004816,192720458.90447983
17,3250.0,2700.0,397152852.511615,236784241.37649804,340440091.8900137,189450102.86668763
18,3250.0,2750.0,393215236.18222123,235303289.2234885,336195666.1925155,186208766.5516753
19,3250.0,2800.0,389367915.9973009,233886223.41378564,332010660.6737396,182964072.4604108
20,3250.0,2850.0,385610891.95685446,232532278.8272185,327887776.82279754,179843760.73524258
21,3250.0,2900.0,381944164.06088144,231239173.10256246,323810047.42601335,176707829.46644196
22,3250.0,2950.0,378367732.3093818,230011677.34672317,319779584.6081549,173677039.88363397
23,3250.0,3000.0,374881596.70235556,228844785.876804,315796416.89584804,170660262.1056765
24,3250.0,3050.0,371485757.239803,227740990.31842107,311864173.2795451,167657123.22384062
25,3250.0,3100.0,368180213.92172414,226698896.82479957,307979431.99721974,164668154.40508378
26,3250.0,3150.0,364964966.7481183,225720601.62040216,304153156.0646435,161775542.93924215
27,3250.0,3200.0,361840015.7189865,224804647.80786029,300375123.1588966,158934923.357014
28,3250.0,3250.0,358805360.834328,223950126.19119236,296635783.64507943,156111278.6740576
29,3250.0,3300.0,355861002.09414285,223156550.75183186,292948687.1662939,153361046.61192292
30,3250.0,3350.0,353006939.49843127,222421522.84544805,289315112.56503457,150655274.65619487
31,3250.0,3400.0,350243173.0471933,221745074.84324178,285730228.86364186,147995546.53213742
32,3250.0,3450.0,347569702.74042886,221123907.31341895,282196618.69847417,145325789.20081866
33,3250.0,3500.0,344986528.5781379,220561100.23517117,278713287.0595723,142594249.25844154
34,3250.0,3550.0,342493650.5603204,220059199.298346,275287378.04764855,140024762.6124881
35,3250.0,3600.0,340091068.68697655,219615578.44312105,271896146.48737407,137526280.7137941
36,3250.0,3650.0,337778782.958106,219237088.2555067,268543161.2962196,134887073.5073863
37,3250.0,3700.0,335556793.37370926,218924867.71192977,265225290.39359462,132396720.94229774
38,3250.0,3750.0,333425099.93378586,218669213.6977049,261963849.89948654,129949066.03908895
39,3250.0,3800.0,331383702.63833594,218472290.04823157,258747871.04877108,127496793.99080563
40,3250.0,3850.0,329432601.4873595,218334541.58869863,255567881.2653288,125145362.75641164
41,3250.0,3900.0,327571796.48085666,218253720.8620967,252423331.92823517,122788051.44054268
42,3250.0,3950.0,325801287.6188272,218236569.24446374,249333329.34766996,120506536.01975542
43,3250.0,4000.0,324121074.90127164,218277393.0093209,246287726.16165015,118303000.27834976
44,3250.0,4050.0,322531158.32818943,218376615.83213657,243296692.39100796,116109200.77109596
45,3250.0,4100.0,321031537.8995805,218540023.54403117,240339730.32493004,113990609.87073688
46,3250.0,4150.0,319622213.6154452,218766332.80884773,237447059.60040215,111980060.18200153
47,3250.0,4200.0,318303185.4757834,219055900.48640412,234583473.57755372,109956850.57378045
48,3250.0,4250.0,317074453.4805952,219408529.46355283,231756172.70076823,107991710.56669973
49,3250.0,4300.0,315936017.6298804,219820942.2666221,228977946.49253857,105964352.86840732
50,3250.0,4350.0,314887877.9236394,220296220.105252,226255117.64379886,104109903.49322838
51,3250.0,4400.0,313930034.36187154,220834258.27898303,223581056.19961888,102235819.68089695
52,3250.0,4450.0,313062486.9445776,221435172.80985963,220948955.60078824,100363041.26699278
53,3250.0,4500.0,312285235.6717568,222099195.16807282,218347196.29351613,98697821.89059722
54,3250.0,4550.0,311598280.5434098,222825338.4138069,215804224.98417294,96985946.24494848
55,3250.0,4600.0,311001621.5595361,223614113.56812057,213304705.45834434,95241181.11506453
56,3250.0,4650.0,310495258.7201358,224462813.3832278,210858611.71817607,93733819.73842308
57,3250.0,4700.0,310079192.0252095,225377688.9799987,208454660.77854508,92149141.73544052
58,3250.0,4750.0,309753421.4747562,226362935.54288787,206101186.30208135,90683945.83502264
59,3250.0,4800.0,309517947.0687765,227414519.65630177,203792892.49950096,89346844.96294194
60,3250.0,4850.0,309372768.8072706,228527102.562533,201524407.032809,88091256.96598051
61,3250.0,4900.0,309317886.6902382,229705471.38490745,199315276.70398518,86786316.05709445
62,3250.0,4950.0,309353300.71767914,230949375.01023048,197153043.50766027,85621753.10108644
63,3250.0,5000.0,309479010.88959336,232261805.13268664,195044661.46059734,84409036.23650049
64,3250.0,5050.0,309695017.2059816,233644579.72810882,193015042.73428673,83309109.89703262
65,3250.0,5100.0,310001319.6668432,235093690.6877331,191026449.4492622,82214542.81731758
66,3250.0,5150.0,310397918.27217823,236608207.3737719,189068351.16917047,81199701.58141452
67,3250.0,5200.0,310884813.0219867,238186326.8890746,187160470.72766098,80300133.7124216
68,3250.0,5250.0,311462003.9162688,239829992.28018403,185297351.37173554,79471927.0386352
69,3250.0,5300.0,312129490.95502436,241540241.89921397,183492119.91597065,78634911.05156235
70,3250.0,5350.0,312887274.1382535,243319568.85640487,181738488.7386942,77771345.9914367
71,3250.0,5400.0,313735353.4659562,245170505.32398587,180013665.61272418,77026085.80928136
72,3250.0,5450.0,314673728.9381322,247091305.0391795,178319011.44661468,76332233.86924243
73,3250.0,5500.0,315702400.5547819,249084838.76961192,176705918.36446464,75720689.86333404
74,3250.0,5550.0,316821368.315905,251149451.91414374,175149077.44628978,75105280.76136878
75,3250.0,5600.0,318030632.2215017,253286927.8896183,173687764.51127884,74563547.63270621
76,3250.0,5650.0,319330192.2715719,255493739.16057724,172257793.22609627,74158652.98967828
77,3250.0,5700.0,320720048.4661156,257770070.16300216,170904290.80958444,73906009.619371
78,3250.0,5750.0,322200200.8051329,260113584.13040212,169603784.0541743,73580893.82211106
79,3250.0,5800.0,323770649.28862363,262528984.34474233,168375276.02074975,73340721.02154236
80,3250.0,5850.0,325431393.91658795,265016977.03032443,167188404.5513718,73214697.84648065
81,3250.0,5900.0,327182434.6890255,267576412.41313094,166072289.10932094,73036383.79292575
82,3250.0,5950.0,329023771.60593694,270208905.32424915,165019684.32470453,73110534.0680768
83,3250.0,6000.0,330955404.66732174,272913729.94655776,164047037.27303874,73260070.35532174
84,3250.0,6050.0,332977333.87318003,275693150.7443924,163125233.2432494,73411961.61698511
85,3250.0,6100.0,335089559.2235119,278545835.8520628,162234882.260671,73670766.6674554
86,3250.0,6150.0,337292080.7183173,281472595.1029282,161420101.53650886,73962572.09388551
87,3250.0,6200.0,339584898.35759604,284475481.710006,160676553.57387736,74322929.53346273
88,3250.0,6250.0,341968012.1413487,287554069.3723302,160002972.61947247,74750896.81526993
89,3250.0,6300.0,344441422.06957436,290709065.2737974,159387965.9172874,75275958.32244615
90,3250.0,6350.0,347005128.14227384,293938350.5817735,158871087.82322106,75867072.96461828
91,3250.0,6400.0,349659130.3594467,297245631.1716302,158405517.51899776,76572461.72397186
92,3250.0,6450.0,352403428.72109306,300630867.5975994,157991520.1002764,77319157.00877868
93,3250.0,6500.0,355238023.22721314,304092639.34728414,157661483.93426856,78159922.46168074
94,3250.0,6550.0,358162913.8778068,307630266.43621606,157401401.42895147,79127871.27619117
95,3250.0,6600.0,361178100.67287356,311246164.6869337,157202164.93620583,80185629.74870081
96,3250.0,6650.0,364283583.61241394,314935846.0390417,157104503.14972377,81279192.9153248
97,3250.0,6700.0,367479362.69642806,318700562.5174649,157039314.36425653,82457554.99039382
98,3250.0,6750.0,370765437.9249156,322539047.5712079,157036907.7296715,83811702.50124784
99,3250.0,6800.0,374141809.29787683,326452103.9638231,157092601.44884345,85051046.56864347
100,3250.0,6850.0,377608476.81531125,330442442.8868465,157237183.12975731,86496034.65117358
101,3250.0,6900.0,381165440.4772194,334511731.7727873,157437176.46357688,87846282.72425956
102,3250.0,6950.0,384812700.28360087,338658262.9077175,157738588.41562587,89347333.66875614
103,3250.0,7000.0,388550256.2344561,342881327.7045387,158175156.52900028,90936017.5085497
104,3250.0,7050.0,392378108.32978463,347181409.78165,158697532.04704708,92664784.71468471
105,3250.0,7100.0,396296256.56958663,351559733.30051523,159287710.90781087,94503182.65333347
106,3250.0,7150.0,400304700.95386225,356016325.84491277,159972567.20895016,96340772.92004174
107,3250.0,7200.0,404403441.4826115,360552531.92400664,160737607.4987059,98167322.70666121
108,3250.0,7250.0,408592478.1558342,365167545.9513534,161579322.95867595,100130660.37831515
109,3250.0,7300.0,412871810.97353053,369860189.2358632,162464364.5890751,102089563.96222672
110,3250.0,7350.0,417241439.93570024,374630364.74535674,163402143.5890092,104231153.77514817
111,3250.0,7400.0,421701365.0423433,379480409.9222294,164411465.09046558,106431787.48612463
112,3250.0,7450.0,426251586.2934601,384409242.7199277,165495583.86400178,108626213.53375529
113,3250.0,7500.0,430892103.68905044,389417276.60302156,166720255.07562912,111058297.82175615
114,3250.0,7550.0,435622917.2291142,394505478.49390906,168082920.68757582,113560769.13065043
115,3250.0,7600.0,440444026.9136512,399672690.5902339,169513389.43588504,116432635.25960863
116,3250.0,7650.0,445355432.7426622,404920769.1314525,171023431.944293,119376670.65768814
