,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.2157555,272906543.8182096,422480574.5634921,252150974.2822154
1,3250.0,1900.0,472434989.4303121,270146684.18643546,417035122.4760102,248145561.2480878
2,3250.0,1950.0,467052634.7893425,267472376.54850686,411670493.6867585,244241132.8107902
3,3250.0,2000.0,461760576.2928458,264883026.40639976,406390685.56172013,240198928.84930488
4,3250.0,2050.0,456558813.9408232,262377145.68497682,401192406.56379616,236269542.591014
5,3250.0,2100.0,451447347.7332736,259954968.9368465,396071300.9471561,232429832.20435643
6,3250.0,2150.0,446426177.67019767,257616293.47318387,391028354.6456311,228589385.1983363
7,3250.0,2200.0,441495303.7515954,255353772.7968133,386063583.9257278,224827779.6483117
8,3250.0,2250.0,436654725.9774664,253168392.9799899,381171681.18301255,221128221.7570704
9,3250.0,2300.0,431904444.347811,251060989.66992489,376347982.34163857,217452353.07888362
10,3250.0,2350.0,427244458.8626293,249031758.50021306,371591363.8019982,213810013.7417435
11,3250.0,2400.0,422674769.521921,247076562.4699394,366909401.5281535,210212701.2334196
12,3250.0,2450.0,418195376.32568604,245192881.45430824,362298296.8326813,206799611.93562314
13,3250.0,2500.0,413806279.2739249,243372042.76499164,357742134.5581935,203432962.1884045
14,3250.0,2550.0,409507478.3666371,241620027.5312386,353254795.91374105,200067353.6212801
15,3250.0,2600.0,405298973.6038229,239937163.1290044,348837411.98318595,196755637.8280397
16,3250.0,2650.0,401180764.9854823,238327951.97378665,344481581.65055346,193446533.71737987
17,3250.0,2700.0,397152852.51161504,236784241.3764983,340182489.94676507,190276111.64139286
18,3250.0,2750.0,393215236.1822215,235303289.22348857,335944504.9584022,187086638.45259327
19,3250.0,2800.0,389367915.9973013,233886223.41378564,331768296.8744051,183855360.2875403
20,3250.0,2850.0,385610891.95685446,232532278.8272184,327654529.95853305,180764891.168248
21,3250.0,2900.0,381944164.0608814,231239173.10256255,323589372.15294385,177750642.06433308
22,3250.0,2950.0,378367732.30938166,230011677.3467232,319573584.62251186,174761239.9095856
23,3250.0,3000.0,374881596.70235556,228844785.87680408,315604004.21227205,171759107.12268192
24,3250.0,3050.0,371485757.2398031,227740990.3184212,311693351.5681717,168860372.84358305
25,3250.0,3100.0,368180213.92172396,226698896.82479954,307832524.7271924,165987689.09318966
26,3250.0,3150.0,364964966.7481183,225720601.6204021,304031073.38516027,163142747.48989967
27,3250.0,3200.0,361840015.71898645,224804647.80786014,300278457.7592114,160376445.0400964
28,3250.0,3250.0,358805360.834328,223950126.19119233,296573456.77654886,157667225.06570888
29,3250.0,3300.0,355861002.09414274,223156550.751832,292927120.7983219,154951805.5823116
30,3250.0,3350.0,353006939.4984311,222421522.845448,289325305.0060667,152343631.4821726
31,3250.0,3400.0,350243173.0471933,221745074.8432418,285780541.94057065,149783326.30791113
32,3250.0,3450.0,347569702.74042886,221123907.31341898,282296223.5420089,147319002.61518392
33,3250.0,3500.0,344986528.5781378,220561100.23517123,278864647.31359506,144675398.9850601
34,3250.0,3550.0,342493650.5603204,220059199.29834607,275481663.61934954,142124975.16568205
35,3250.0,3600.0,340091068.6869765,219615578.44312105,272154231.07743603,139729786.0464051
36,3250.0,3650.0,337778782.9581061,219237088.25550675,268878090.0827523,137216152.31834233
37,3250.0,3700.0,335556793.3737092,218924867.7119299,265651384.0422549,134823900.47648707
38,3250.0,3750.0,333425099.9337857,218669213.6977049,262475014.94813633,132492151.33333354
39,3250.0,3800.0,331383702.63833594,218472290.0482315,259342277.73623225,130223129.27814046
40,3250.0,3850.0,329432601.4873595,218334541.5886985,256256417.13950664,128015656.13364492
41,3250.0,3900.0,327571796.48085666,218253720.86209664,253211209.6227086,125834716.48437062
